valuvalue,time
2.00,382356
4.00,382380
2.00,382388
2.00,382396
2.00,382397
2.00,382408
2.00,382416
2.00,382431
2.00,382436
2.00,382445
2.00,382450
2.00,382467
2.00,382478
2.00,382511
2.00,382522
2.00,382525
2.00,382540
2.00,382550
2.00,382567
2.00,382570
2.00,382575
2.00,382579
2.00,382590
2.00,382603
2.00,382609
2.00,382614
2.00,382625
2.00,382652
2.00,382661
2.00,382670
2.00,382674
2.00,382675
2.00,382681
2.00,382682
2.00,382694
3.00,382695
2.00,382699
2.00,382704
2.00,382709
2.00,382721
3.00,382752
2.00,382759
2.00,382782
2.00,382794
2.00,382811
2.00,382813
2.00,382818
2.00,382820
2.00,382826
2.00,382844
2.00,382886
2.00,382910
2.00,382950
2.00,382962
2.00,382977
2.00,383003
2.00,383022
2.00,383033
2.00,383034
2.00,383055
2.00,383064
2.00,383088
2.00,383089
2.00,383093
2.00,383094
2.00,383097
2.00,383117
2.00,383152
2.00,383153
2.00,383171
2.00,383182
2.00,383185
2.00,383188
2.00,383191
2.00,383195
2.00,383217
2.00,383260
2.00,383270
2.00,383271
2.00,383276
2.00,383279
2.00,383291
2.00,383313
2.00,383327
2.00,383337
2.00,383342
2.00,383352
2.00,383353
2.00,383365
2.00,383366
2.00,383374
2.00,383381
2.00,383395
2.00,383433
2.00,383442
2.00,383468
2.00,383475
2.00,383480
2.00,383483
2.00,383490
2.00,383507
2.00,383514
3.00,383549
2.00,383553
2.00,383557
2.00,383581
2.00,383592
2.00,383595
2.00,383598
2.00,383608
2.00,383612
2.00,383631
2.00,383632
2.00,383657
2.00,383665
2.00,383667
2.00,383685
2.00,383688
2.00,383696
2.00,383700
2.00,383701
2.00,383712
2.00,383713
2.00,383718
2.00,383744
2.00,383750
2.00,383764
2.00,383777
2.00,383778
2.00,383787
3.00,383788
2.00,383793
2.00,383838
2.00,383863
2.00,383875
2.00,383882
2.00,383890
2.00,383931
2.00,383936
2.00,383940
2.00,383946
4.00,383954
2.00,383955
3.00,383972
2.00,383974
2.00,383986
2.00,383988
2.00,384021
2.00,384035
2.00,384043
2.00,384050
2.00,384071
2.00,384073
2.00,384074
2.00,384078
2.00,384082
2.00,384090
2.00,384091
2.00,384102
2.00,384110
3.00,384116
2.00,384120
2.00,384124
2.00,384132
3.00,384146
2.00,384155
4.00,384160
2.00,384168
2.00,384171
2.00,384182
2.00,384185
2.00,384190
2.00,384202
2.00,384219
2.00,384231
2.00,384237
2.00,384266
2.00,384271
2.00,384287
2.00,384306
2.00,384328
2.00,384340
2.00,384343
2.00,384369
2.00,384378
2.00,384392
2.00,384395
2.00,384406
2.00,384424
2.00,384431
2.00,384462
2.00,384466
2.00,384477
2.00,384482
2.00,384485
2.00,384512
2.00,384518
2.00,384564
2.00,384568
2.00,384603
2.00,384626
2.00,384659
2.00,384677
2.00,384678
2.00,384680
2.00,384681
2.00,384682
2.00,384700
2.00,384706
2.00,384715
2.00,398582
2.00,414393
2.00,439763
2.00,440887
2.00,449703
2.00,477154
2.00,515248
2.00,573530
2.00,588560
2.00,625855
2.00,635129
2.00,639709
2.00,640435
2.00,661562
2.00,664052
2.00,679279
2.00,113789
2.00,124979
2.00,136356
2.00,137709
2.00,149041
2.00,156664
2.00,156667
2.00,156669
2.00,156678
2.00,156700
2.00,156702
2.00,156706
2.00,156707
2.00,156718
2.00,156727
2.00,156733
2.00,156734
2.00,156735
2.00,156736
2.00,156746
2.00,156747
2.00,156748
2.00,156749
2.00,156754
2.00,156755
2.00,156756
2.00,156757
3.00,156758
3.00,156759
2.00,156760
2.00,156761
2.00,156762
3.00,156763
2.00,156764
2.00,156765
3.00,156766
3.00,156767
2.00,156768
3.00,156769
2.00,156770
3.00,156771
2.00,156772
3.00,156773
3.00,156774
2.00,156775
3.00,156776
2.00,156777
3.00,156778
3.00,156779
3.00,156780
4.00,156781
2.00,156782
3.00,156786
2.00,156787
3.00,156788
3.00,156789
3.00,156790
2.00,156791
2.00,156792
2.00,156793
3.00,156794
2.00,156795
2.00,156799
2.00,156800
3.00,156803
3.00,156809
2.00,156810
2.00,156814
3.00,156818
2.00,156823
2.00,156824
4.00,156828
3.00,156831
3.00,156835
2.00,156840
2.00,156843
2.00,156847
2.00,156851
2.00,156854
2.00,156859
3.00,156863
3.00,156866
2.00,156870
2.00,156874
2.00,156877
2.00,156884
3.00,156888
2.00,156891
2.00,156895
2.00,156898
2.00,156901
2.00,156903
2.00,156910
3.00,156914
2.00,156918
2.00,156921
2.00,156925
3.00,156929
3.00,156934
2.00,156939
4.00,156943
3.00,156946
2.00,156948
2.00,156952
2.00,156956
3.00,156959
2.00,156962
2.00,156966
3.00,156968
2.00,156970
2.00,156974
2.00,156977
2.00,156980
2.00,156984
3.00,156986
3.00,156988
2.00,156990
2.00,156996
2.00,156999
2.00,157007
2.00,157010
2.00,157012
2.00,157017
2.00,157022
3.00,157027
2.00,157030
2.00,157032
2.00,157035
2.00,157037
2.00,157042
3.00,157047
2.00,157049
2.00,157056
3.00,157061
3.00,157062
2.00,157068
3.00,157073
2.00,157074
2.00,157078
2.00,157079
4.00,157080
2.00,157081
3.00,157082
2.00,157083
2.00,157084
3.00,157085
3.00,157089
2.00,157090
3.00,157091
2.00,157092
3.00,157093
3.00,157094
3.00,157095
3.00,157096
3.00,157097
3.00,157101
2.00,157102
3.00,157103
3.00,157104
2.00,157105
2.00,157110
2.00,157111
3.00,157112
2.00,157113
2.00,157114
2.00,157115
2.00,157119
2.00,157120
2.00,157121
3.00,157122
2.00,157123
2.00,157128
2.00,157129
2.00,157132
3.00,157137
2.00,157141
2.00,157145
2.00,157154
2.00,157158
2.00,157163
2.00,157167
2.00,157171
2.00,157176
2.00,157180
2.00,157188
2.00,157191
2.00,157199
3.00,157204
2.00,157207
3.00,157210
2.00,157213
3.00,157216
3.00,157219
4.00,157221
3.00,157224
2.00,157227
2.00,157231
3.00,157233
2.00,157236
2.00,157239
2.00,157241
2.00,157244
3.00,157249
2.00,157254
2.00,157259
2.00,157263
2.00,157264
2.00,157269
2.00,157274
2.00,157275
2.00,157276
3.00,157277
3.00,157278
3.00,157279
2.00,157280
2.00,157281
2.00,157285
2.00,157286
3.00,157290
2.00,157294
3.00,157303
2.00,157306
2.00,157310
2.00,157319
2.00,157324
2.00,157326
2.00,157332
3.00,157559
2.00,157630
3.00,157897
2.00,158072
2.00,158397
2.00,158438
2.00,158736
2.00,159099
2.00,159389
2.00,160089
2.00,160535
3.00,160621
3.00,160898
2.00,161014
2.00,161570
4.00,162225
3.00,163057
2.00,163449
2.00,163457
2.00,163542
2.00,163666
